DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,hour,day_of_week,month,is_weekend,is_weekday,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_12,lag_24,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_roll_mean_12,price_roll_std_12,price_roll_mean_24,price_roll_std_24
2025-08-13 03:00:00,57.44096774193549,2.0,3,2,8,0,1,44.69903225806452,36.25451612903226,33.236451612903224,74.13225806451612,36.0441935483871,3.9470967741935485,6.992258064516129,-107.03807017543859,46.13150537634409,10.665618473038457,46.967903225806445,15.971173339676515,33.41572580645161,19.114955695196013,22.939645952865458,23.324531715451293
2025-08-13 03:30:00,68.04709677419355,2.0,3,2,8,0,1,57.44096774193549,44.69903225806452,36.25451612903226,33.236451612903224,74.13225806451612,36.0441935483871,36.67774193548387,-8.985714285714286,56.729032258064514,11.690302316973183,52.30172043010753,16.909755887950602,36.02983870967742,21.586790814064393,26.149346413694953,24.029852971573042
2025-08-13 04:00:00,64.77645161290323,2.0,4,2,8,0,1,68.04709677419355,57.44096774193549,44.69903225806452,36.25451612903226,33.236451612903224,74.13225806451612,20.515806451612903,-11.657115384615386,63.42150537634408,5.431335263100875,50.74241935483871,14.792952690832744,39.71822580645161,22.458683435361845,29.334078371924893,23.865822804460365
2025-08-13 04:30:00,78.77709677419355,2.0,4,2,8,0,1,64.77645161290323,68.04709677419355,57.44096774193549,44.69903225806452,36.25451612903226,33.236451612903224,18.27709677419355,-26.3121875,70.53354838709679,7.324025358406014,58.33252688172043,15.671522481073225,44.75989247311828,23.94913099943902,33.712798550016295,22.830405975141854
2025-08-13 05:00:00,66.7258064516129,2.0,5,2,8,0,1,78.77709677419355,64.77645161290323,68.04709677419355,57.44096774193549,44.69903225806452,36.25451612903226,20.54258064516129,21.883636363636363,70.09311827956988,7.5834430137713085,63.4110752688172,11.45636718332629,48.60849462365591,23.408335645258436,35.58122230368198,23.64076847835585
2025-08-13 05:30:00,85.36677419354838,2.0,5,2,8,0,1,66.7258064516129,78.77709677419355,64.77645161290323,68.04709677419355,57.44096774193549,44.69903225806452,19.220967741935485,24.21030303030303,76.95655913978494,9.45289307819016,70.18903225806451,10.12432418628169,54.12064516129033,23.645854321658117,38.12940860215054,25.578389127017697
2025-08-13 06:00:00,-20.562391304347823,1.673913043478261,6,2,8,0,1,85.36677419354838,66.7258064516129,78.77709677419355,64.77645161290323,68.04709677419355,57.44096774193549,3.9470967741935485,42.85193548387097,43.84339644693782,56.550424768402166,57.188472417017294,38.91459904395194,52.07818782141188,28.85780513099717,35.48714498597476,28.209395232147955
2025-08-13 08:30:00,22.239677419354837,2.0,8,2,8,0,1,-20.562391304347823,85.36677419354838,66.7258064516129,78.77709677419355,64.77645161290323,68.04709677419355,36.0441935483871,12.425806451612903,29.014686769518466,53.28857841546606,49.55390252454418,40.80568268748303,50.927811477325854,29.81437942981473,35.89605627629734,27.930322142519433
2025-08-13 09:00:00,98.0716129032258,2.0,9,2,8,0,1,22.239677419354837,-20.562391304347823,85.36677419354838,66.7258064516129,78.77709677419355,64.77645161290323,74.13225806451612,41.777419354838706,33.24963300607761,60.078457704046095,55.10309607293127,45.30562795806967,52.922757713885,32.21265049953954,38.2416476741468,30.674683527458406
2025-08-13 09:30:00,132.7635483870968,2.0,9,2,8,0,1,98.0716129032258,22.239677419354837,-20.562391304347823,85.36677419354838,66.7258064516129,78.77709677419355,33.236451612903224,1.5661290322580643,84.35827956989247,56.523651215724314,64.10083800841515,55.22305860451255,61.21668244506779,38.818615885966246,43.708206813931746,35.20970124070341
2025-08-13 10:00:00,71.93032258064517,2.0,10,2,8,0,1,132.7635483870968,98.0716129032258,22.239677419354837,-20.562391304347823,85.36677419354838,66.7258064516129,36.25451612903226,44.29516129032258,100.92182795698925,30.516604249067566,64.96825736325384,55.31333813738464,64.18966631603554,38.09240329052133,44.85967186769519,35.67848748614803
2025-08-13 10:30:00,-25.00333333333333,2.0,10,2,8,0,1,71.93032258064517,132.7635483870968,98.0716129032258,22.239677419354837,-20.562391304347823,85.36677419354838,44.69903225806452,0.5151612903225806,59.89684587813621,79.56884228835692,46.57323944210691,64.72457712057415,58.38113585008571,45.85746804383922,43.79640125837619,37.396363230485235
2025-08-13 11:00:00,-54.42645161290323,2.0,11,2,8,0,1,-25.00333333333333,71.93032258064517,132.7635483870968,98.0716129032258,22.239677419354837,-20.562391304347823,57.44096774193549,6.992258064516129,-2.4998207885304637,66.11591830860716,40.929229390680995,72.73097001677532,49.058850903849155,56.25735430148542,41.23728835515038,41.85961531192337
2025-08-13 11:30:00,-45.814516129032256,2.0,11,2,8,0,1,-54.42645161290323,-25.00333333333333,71.93032258064517,132.7635483870968,98.0716129032258,22.239677419354837,68.04709677419355,36.67774193548387,-41.74810035842294,15.127186626665893,29.58686379928315,81.05831541372133,39.57038316191367,62.06581484263125,37.800110935795544,45.480486373225816
2025-08-13 12:00:00,-11.420322580645161,2.0,12,2,8,0,1,-45.814516129032256,-54.42645161290323,-25.00333333333333,71.93032258064517,132.7635483870968,98.0716129032258,64.77645161290323,20.515806451612903,-37.22043010752689,22.754681265479803,11.33820788530466,74.62653724717391,33.22065197911797,63.14103711326131,36.46943889278479,46.46472440236522
2025-08-13 18:00:00,126.22419354838709,2.0,18,2,8,0,1,-11.420322580645161,-45.814516129032256,-54.42645161290323,-25.00333333333333,71.93032258064517,132.7635483870968,78.77709677419355,18.27709677419355,22.99645161290322,91.03688904111957,10.248315412186377,72.5164112455977,37.17457671030076,67.58251729137052,40.96723459170952,49.73659085232375
2025-08-13 18:30:00,104.57967741935484,2.0,18,2,8,0,1,126.22419354838709,-11.420322580645161,-45.814516129032256,-54.42645161290323,-25.00333333333333,71.93032258064517,66.7258064516129,20.54258064516129,73.12784946236559,74.01632466203581,15.689874551971322,79.00534406515833,40.32906595761259,69.92991678118588,44.46878029063425,51.17356291814879
2025-08-13 19:00:00,568.5664516129033,2.0,19,2,8,0,1,104.57967741935484,126.22419354838709,-11.420322580645161,-45.814516129032256,-54.42645161290323,-25.00333333333333,85.36677419354838,19.220967741935485,266.45677419354837,261.8583857019572,114.61817204301076,235.16162356219294,80.59570574255883,168.23728885043806,67.35817545192458,118.26602339209059
